Year,Jursidiction,Beach ID,Beach Name,County,WaterbodyName,WaterbodyType,IsBeach ActBeach?,Tier,IsHistorical?,BeachLength (MI),IsDormant?,BeachAccess,BeachOwner,# ofdays inSwimSeason (SS),# ofhours inSSDay,SSStartDate,SSEndDate,SSMonitoringFrequency,MonitoringReportingFrequency[to EPA],AdvisoryReportingFrequency[to EPA],# ofActions,EarliestActionDate,LatestActionDate,# ofactions ofLT 1 dayduration,# ofactions of1 to LT 2 daysduration,# ofactions of2 to LT 3 daysduration,# ofactions of3 to LT 8 daysduration,# ofactions of8 to 30 daysduration,# ofactions ofGT 30 daysduration
2023,AS,AS402143,POUESI-AUA,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,8,04-JAN-2023 12:00AM,15-AUG-2023 12:00AM,,,,8,,
2023,AS,AS691902,SAILELE,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,3,04-JAN-2023 12:00AM,18-JUL-2023 12:00AM,,,,3,,
2023,AS,AS550747,TULA,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,1,24-MAY-2023 12:00AM,30-MAY-2023 12:00AM,,,,1,,
2023,AS,AS567401,UTULEI BEACH,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,14,25-JAN-2023 12:00AM,14-NOV-2023 12:00AM,,,,14,,
2023,AS,AS139665,VATIA,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,10,04-JAN-2023 12:00AM,14-NOV-2023 12:00AM,,,,10,,
2023,AS,AS113602,YACHT CLUB,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,15,04-JAN-2023 12:00AM,24-OCT-2023 12:00AM,,,,15,,
2023,AS,AS588982,FALEASAO BEACH,MANU'A DISTRICT,Pacific Ocean,Open Coast,Y,2,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-month,1 per-year,1 per-year,1,01-MAY-2023 12:00AM,07-MAY-2023 12:00AM,,,,1,,
2023,AS,AS164850,FITIUTA BEACH,MANU'A DISTRICT,Pacific Ocean,Open Coast,Y,2,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-month,1 per-year,1 per-year,1,01-MAY-2023 12:00AM,07-MAY-2023 12:00AM,,,,1,,
2023,AS,AS692906,TA'U BEACH,MANU'A DISTRICT,Pacific Ocean,Open Coast,Y,2,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-month,1 per-year,1 per-year,1,01-MAY-2023 12:00AM,07-MAY-2023 12:00AM,,,,1,,
2023,AS,AS522510,AMANAVE,WESTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,5,11-JAN-2023 12:00AM,04-JUL-2023 12:00AM,,,,5,,
2023,AS,AS596033,ASILI,WESTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,21,01-FEB-2023 12:00AM,07-NOV-2023 12:00AM,,,,21,,
